trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-193.52546867093395,"{0: 16, 1: 0, 2: 11, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-155.81827081692907,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.96192936764075,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-125.01761917882423,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.91514377915138,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.78228770036691,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-227.22331480718057,"{0: 14, 1: 3, 2: 9, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.78752063568254,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.71634285408594,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-19.14198939041646,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-77.36415282861084,"{0: 14, 1: 9, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-29.74642272159406,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.55914252584336,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-3.5550198026835504,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-227.69001727389693,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 5}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.5973181650628,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,9,-63.07899944414777,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.0869107113791,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.98304186505113,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.6931284113855,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-107.73860655078505,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-69.66108671628052,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-160.46493040259887,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-193.86034783043846,"{0: 10, 1: 0, 2: 5, 3: 2, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-153.20511194324052,"{0: 17, 1: 3, 2: 6, 3: 3, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-108.23193689354216,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-63.15511950461624,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-98.49534572293278,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,5,-128.84928467827416,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",1
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-147.63497791696477,"{0: 14, 1: 0, 2: 8, 3: 2, 4: 1}",0
